gate,rank,line,module,unit,gate_type,combined_score,lti range,lti start,welcht,weight
skivav/g136123,6,{{../../rtl/skivav/ALU.v 113 69}},ALU.v,Execute Stage,sky130_fd_sc_hd__a22o_1,554.5777279361994,363580000-363599999,363580000,31.304432517135417,1
skivav/g136123,6,{{../../rtl/skivav/ALU.v 113 69}},ALU.v,Execute Stage,sky130_fd_sc_hd__a22o_1,554.5777279361994,359980000-359999999,359980000,31.0,1
skivav/g136115,7,{{../../rtl/skivav/ALU.v 113 69}},ALU.v,Execute Stage,sky130_fd_sc_hd__a22o_1,554.5777279361994,357160000-357179999,357160000,33.98327214767268,1
skivav/g136115,7,{{../../rtl/skivav/ALU.v 113 69}},ALU.v,Execute Stage,sky130_fd_sc_hd__a22o_1,554.5777279361994,358780000-358799999,358780000,34.31820939090965,1
skivav/g136115,7,{{../../rtl/skivav/ALU.v 113 69}},ALU.v,Execute Stage,sky130_fd_sc_hd__a22o_1,554.5777279361994,354080000-354099999,354080000,32.48809305693688,1
skivav/g136115,7,{{../../rtl/skivav/ALU.v 113 69}},ALU.v,Execute Stage,sky130_fd_sc_hd__a22o_1,554.5777279361994,355840000-355859999,355840000,33.064583267699994,1
skivav/g136115,7,{{../../rtl/skivav/ALU.v 113 69}},ALU.v,Execute Stage,sky130_fd_sc_hd__a22o_1,554.5777279361994,361580000-361599999,361580000,32.935550747150245,1
skivav/g136115,7,{{../../rtl/skivav/ALU.v 113 69}},ALU.v,Execute Stage,sky130_fd_sc_hd__a22o_1,554.5777279361994,354520000-354539999,354520000,32.10955511077294,1
skivav/g136115,7,{{../../rtl/skivav/ALU.v 113 69}},ALU.v,Execute Stage,sky130_fd_sc_hd__a22o_1,554.5777279361994,364380000-364399999,364380000,32.10955511077294,1
skivav/g136115,7,{{../../rtl/skivav/ALU.v 113 69}},ALU.v,Execute Stage,sky130_fd_sc_hd__a22o_1,554.5777279361994,362780000-362799999,362780000,33.58616978491824,1
