20000	00000000
40000	00000000
60000	00000000
80000	00000000
100000	00000000
120000	00000000
140000	00000000
160000	00000004
180000	00000000
200000	00000008
220000	00000000
240000	0000000c
260000	00000000
280000	00000010
300000	00000000
320000	00000014
340000	00000000
360000	00000018
380000	00000000
400000	0000001c
420000	00000000
440000	00000020
460000	00000000
480000	00000024
500000	00000000
520000	00000028
540000	00000000
560000	0000002c
580000	00000000
600000	00000030
620000	00000000
640000	00000034
660000	00000000
680000	00000038
700000	00000000
720000	0000003c
740000	00000000
760000	00000040
780000	00000000
800000	00000044
820000	00000000
840000	00000048
860000	00000000
880000	0000004c
900000	00000000
920000	00000050
940000	00000000
960000	00000054
980000	00000000
1000000	00000058
1020000	00000000
1040000	0000005c
1060000	00000000
1080000	00000060
1100000	00000000
1120000	00000064
1140000	00000000
1160000	00000068
1180000	00000000
1200000	0000006c
1220000	00000000
1240000	00000070
1260000	00000000
1280000	00000074
1300000	00000000
1320000	00000078
1340000	00000000
1360000	0000007c
1380000	00000000
1400000	00000080
1420000	00000000
1440000	00000084
1460000	00000000
1480000	00000088
1500000	00000000
1520000	0000008c
1540000	00000000
1560000	00000090
1580000	00000000
1600000	00000000
1620000	00000000
1640000	00000740
1660000	00000000
1680000	00000744
1700000	00000000
1720000	00000748
1740000	00000000
1760000	0000074c
1780000	00000000
1800000	00000750
1820000	00000000
1840000	00000754
1860000	00000000
1880000	00000758
1900000	00000000
1920000	0000075c
1940000	00000000
1960000	00000760
1980000	00000760
2000000	00000760
2020000	00000000
2040000	00000000
2060000	00000764
2080000	00000768
2100000	00000000
2120000	0000076c
2140000	00000000
2160000	00000770
2180000	00000000
2200000	00000774
2220000	00000000
2240000	00000778
2260000	00000778
2280000	00000778
2300000	00000000
2320000	0000077c
2340000	00000780
2360000	00000780
2380000	00000780
2400000	00000000
2420000	00000000
2440000	00000784
2460000	00000788
2480000	00000788
2500000	00000788
2520000	00000000
2540000	00000000
2560000	0000078c
2580000	00000790
2600000	00000790
2620000	00000790
2640000	00000000
2660000	00000000
2680000	00000794
2700000	00000798
2720000	00000798
2740000	00000798
2760000	00000000
2780000	00000000
2800000	0000079c
2820000	000007a0
2840000	00000000
2860000	000007a4
2880000	000007a4
2900000	000007a4
2920000	00000000
2940000	00000000
2960000	000007a8
2980000	000007ac
3000000	000007ac
3020000	000007ac
3040000	00000000
3060000	00000000
3080000	000007b0
3100000	000007b4
3120000	000007b4
3140000	000007b4
3160000	00000000
3180000	00000000
3200000	000007b8
3220000	000007bc
3240000	000007bc
3260000	000007bc
3280000	00000000
3300000	00000000
3320000	000007c0
3340000	000007c4
3360000	00000000
3380000	000007c8
3400000	00000000
3420000	000007cc
3440000	00000000
3460000	000007d0
3480000	00000000
3500000	000007d4
3520000	00000000
3540000	000007d8
3560000	00000000
3580000	00000000
3600000	000007dc
3620000	00000000
3640000	00000000
3660000	00000000
3680000	000007d8
3700000	00000000
3720000	00000000
3740000	000007dc
3760000	00000000
3780000	00000000
3800000	00000000
3820000	000007d8
3840000	00000000
3860000	00000000
3880000	000007dc
3900000	00000000
3920000	00000000
3940000	00000000
3960000	000007d8
3980000	00000000
4000000	00000000
4020000	000007dc
4040000	00000000
4060000	00000000
4080000	00000000
4100000	000007d8
4120000	00000000
4140000	00000000
4160000	000007dc
4180000	00000000
4200000	00000000
4220000	00000000
4240000	000007d8
4260000	00000000
4280000	00000000
4300000	000007dc
4320000	00000000
4340000	00000000
4360000	00000000
4380000	000007d8
4400000	00000000
4420000	00000000
4440000	000007dc
4460000	00000000
4480000	00000000
4500000	00000000
4520000	000007d8
4540000	00000000
4560000	00000000
4580000	000007dc
4600000	00000000
4620000	00000000
4640000	00000000
4660000	000007d8
4680000	00000000
4700000	00000000
4720000	000007dc
4740000	00000000
4760000	00000000
4780000	00000000
4800000	000007d8
4820000	00000000
4840000	00000000
4860000	000007dc
4880000	000007e0
4900000	00000000
4920000	00000000
4940000	000007e4
4960000	000007e8
4980000	00000000
5000000	00000000
5020000	000007ec
5040000	000007f0
5060000	00000000
5080000	00000000
5100000	000007f4
5120000	000007f8
5140000	00000000
5160000	00000000
5180000	000007fc
5200000	00000800
5220000	00000000
5240000	00000804
5260000	00000000
5280000	00000808
5300000	00000000
5320000	0000080c
5340000	00000000
5360000	00000810
5380000	00000000
5400000	00000814
5420000	00000000
5440000	00000818
