address,instruction,function,stage/unit
00000000 (00000858 flushed),"and t1,t4,a5",PRESENT_ENCRYPT_SBOX,"Execute Stage,Write-Back Stage,Decode Stage,"
00000858,"and t1,t4,a5",PRESENT_ENCRYPT_SBOX,"Execute Stage,Memory Stage,Decode Stage,"
00000000 (00000854 flushed),"and a5,a5,t1",PRESENT_ENCRYPT_SBOX,"Execute Stage,Write-Back Stage,Memory Stage,"
00000000 (00000824 flushed),"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"Execute Stage,Write-Back Stage,"
00000854,"and a5,a5,t1",PRESENT_ENCRYPT_SBOX,"Execute Stage,Memory Stage,Write-Back Stage,"
00000000 (00000828 flushed),"and a4,t1,a4",PRESENT_ENCRYPT_SBOX,"Execute Stage,Memory Stage,"
00000000 (0000085c flushed),"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"Execute Stage,Memory Stage,"
000007f8,"xori t1,t1,-1",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
00000860,"and a4,t3,a4",PRESENT_ENCRYPT_SBOX,"Execute Stage,Decode Stage,"
00000000 (0000081c flushed),"and a4,a4,t0",PRESENT_ENCRYPT_SBOX,"Execute Stage,Memory Stage,Decode Stage,"
0000082c,"sw a4,4(a0)",PRESENT_ENCRYPT_SBOX,"Execute Stage,Memory Stage,Decode Stage,"
00000800,"and t1,t1,t2",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
00000820,"xori t1,t1,-1",PRESENT_ENCRYPT_SBOX,"Execute Stage,Decode Stage,"
00000000 (00000844 flushed),"lw a4,12(a1)",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
00000824,"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"Memory Stage,"
00000000 (00000850 flushed),"xori t1,t1,-1",PRESENT_ENCRYPT_SBOX,"Memory Stage,Write-Back Stage,"
00000828,"and a4,t1,a4",PRESENT_ENCRYPT_SBOX,"Memory Stage,Write-Back Stage,Decode Stage,"
0000085c,"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"Memory Stage,Write-Back Stage,Decode Stage,"
00000000 (000007f4 flushed),"lw t1,12(a1)",PRESENT_ENCRYPT_SBOX,"Memory Stage,Write-Back Stage,Execute Stage,"
0000081c,"and a4,a4,t0",PRESENT_ENCRYPT_SBOX,"Memory Stage,Write-Back Stage,Execute Stage,"
00000000 (000007fc flushed),"xori t2,t2,-1",PRESENT_ENCRYPT_SBOX,"Memory Stage,"
00000000 (00000810 flushed),"and a4,a4,t3",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
00000814,"and t0,a5,t0",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
00000850,"xori t1,t1,-1",PRESENT_ENCRYPT_SBOX,"Write-Back Stage,"
00000000 (00000820 flushed),"xori t1,t1,-1",PRESENT_ENCRYPT_SBOX,"Write-Back Stage,Decode Stage,"
000007fc,"xori t2,t2,-1",PRESENT_ENCRYPT_SBOX,"Write-Back Stage,"
00000000 (00000818 flushed),"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"Execute Stage,Memory Stage,Write-Back Stage,"
0000088c,"xori t5,t5,-1",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
out of processor 00000858,"and t1,t4,a5",PRESENT_ENCRYPT_SBOX,"SoC Interconnect,UART,T-DMA,"
out of processor 00000854,"and a5,a5,t1",PRESENT_ENCRYPT_SBOX,"SoC Interconnect,UART,T-DMA,"
out of processor 00000000 (00000850 flushed),"xori t1,t1,-1",PRESENT_ENCRYPT_SBOX,"SoC Interconnect,UART,T-DMA,"
