address,instruction,function,stage/unit
out of processor 00000824,"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"SoC Interconnect,UART,T-DMA,not found,AES Coprocessor,Timer,GPIO,"
out of processor 00000828,"and a4,t1,a4",PRESENT_ENCRYPT_SBOX,"SoC Interconnect,UART,T-DMA,AES Coprocessor,not found,Timer,GPIO,"
out of processor 0000081c,"and a4,a4,t0",PRESENT_ENCRYPT_SBOX,"SoC Interconnect,T-DMA,not found,"
out of processor 0000085c,"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"SoC Interconnect,UART,T-DMA,"
out of processor 00000000 (000007f4 flushed),"lw t1,12(a1)",PRESENT_ENCRYPT_SBOX,"SoC Interconnect,UART,T-DMA,not found,Timer,AES Coprocessor,"
out of processor 00000000 (00000818 flushed),"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"SoC Interconnect,T-DMA,not found,"
out of processor 00000000 (000007fc flushed),"xori t2,t2,-1",PRESENT_ENCRYPT_SBOX,"SoC Interconnect,UART,T-DMA,not found,AES Coprocessor,Timer,"
out of processor 00000000 (0000081c flushed),"and a4,a4,t0",PRESENT_ENCRYPT_SBOX,"SoC Interconnect,UART,T-DMA,not found,AES Coprocessor,Timer,"
00000000 (000007d0 flushed),"xori t1,t1,-1",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
00000838,"lw a4,8(a1)",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
out of processor 00000844,"lw a4,12(a1)",PRESENT_ENCRYPT_SBOX,"T-DMA,"
00000000 (00000878 flushed),"lw a4,4(a1)",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
00000840,"and t6,t6,a4",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
00000000 (0000088c flushed),"xori t5,t5,-1",PRESENT_ENCRYPT_SBOX,"Decode Stage,"
00000000 (00000838 flushed),"lw a4,8(a1)",PRESENT_ENCRYPT_SBOX,"Decode Stage,"
out of processor 00000000 (00000828 flushed),"and a4,t1,a4",PRESENT_ENCRYPT_SBOX,"T-DMA,AES Coprocessor,UART,SoC Interconnect,not found,"
out of processor 00000000 (00000854 flushed),"and a5,a5,t1",PRESENT_ENCRYPT_SBOX,"T-DMA,UART,"
out of processor 00000000 (0000085c flushed),"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"T-DMA,UART,"
00000000 (0000082c flushed),"sw a4,4(a0)",PRESENT_ENCRYPT_SBOX,"Decode Stage,Execute Stage,"
00000000 (00000860 flushed),"and a4,t3,a4",PRESENT_ENCRYPT_SBOX,"Decode Stage,"
out of processor 0000082c,"sw a4,4(a0)",PRESENT_ENCRYPT_SBOX,"UART,SoC Interconnect,T-DMA,not found,AES Coprocessor,"
00000000 (000007ec flushed),"lw t3,4(a1)",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
000007f4,"lw t1,12(a1)",PRESENT_ENCRYPT_SBOX,"Write-Back Stage,"
00000818,"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"Write-Back Stage,"
out of processor 00000000 (0000082c flushed),"sw a4,4(a0)",PRESENT_ENCRYPT_SBOX,"not found,"
00000000 (000008a4 flushed),"and t3,a4,t3",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
00000000 (00000880 flushed),"lw a4,8(a1)",PRESENT_ENCRYPT_SBOX,"Decode Stage,"
