address,instruction,function,stage/unit
00000168,"xor a5,a5,a0",isw_mult,"Execute Stage,"
00000000 (00000164 flushed),"xor a5,a5,a4",isw_mult,"Execute Stage,Memory Stage,"
00000160,"and a4,a4,a3",isw_mult,"Execute Stage,Write-Back Stage,"
out of processor 00000000 (00000164 flushed),"xor a5,a5,a4",isw_mult,"not found,T-DMA,UART,AES Coprocessor,"
out of processor 00000164,"xor a5,a5,a4",isw_mult,"not found,T-DMA,SoC Interconnect,UART,AES Coprocessor,GPIO,Timer,"
out of processor 00000000 (0000015c flushed),"lw a3,4(s1)",isw_mult,"not found,T-DMA,UART,"
00000164,"xor a5,a5,a4",isw_mult,"Write-Back Stage,Memory Stage,Decode Stage,"
00000000 (0000015c flushed),"lw a3,4(s1)",isw_mult,"Memory Stage,"
00000000 (00000168 flushed),"xor a5,a5,a0",isw_mult,"Decode Stage,"
